Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  47287.; 0.630998E-01; 0.340595E-02;-0.274946E-01; 122345.; 0.630998E-01; 0.340595E-02;-0.274946E-01;-0.735918E+00;-0.386512E+00;-0.609425E+00; 0.412722E+00;-0.684526E+00; 0.325226E+00
  47288.; 0.630701E-01; 0.342982E-02;-0.257671E-01; 122346.; 0.630701E-01; 0.342982E-02;-0.257671E-01;-0.721091E+00;-0.373361E+00;-0.609171E+00; 0.401397E+00;-0.668592E+00; 0.324854E+00
  47291.; 0.631360E-01; 0.338077E-02;-0.292195E-01; 122349.; 0.631360E-01; 0.338077E-02;-0.292195E-01;-0.750233E+00;-0.399496E+00;-0.609893E+00; 0.423992E+00;-0.700413E+00; 0.325734E+00
  47293.; 0.631784E-01; 0.335451E-02;-0.309441E-01; 122351.; 0.631784E-01; 0.335451E-02;-0.309441E-01;-0.764273E+00;-0.412420E+00;-0.610207E+00; 0.435264E+00;-0.716332E+00; 0.326262E+00
  47295.; 0.632269E-01; 0.332660E-02;-0.326693E-01; 122353.; 0.632269E-01; 0.332660E-02;-0.326693E-01;-0.778253E+00;-0.425186E+00;-0.610490E+00; 0.446569E+00;-0.732298E+00; 0.326945E+00
  47296.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 122354.; 0.903502E-01;-0.333868E-02; 0.118911E-01;-0.171278E+00; 0.134831E+01;-0.684808E+00; 0.118876E+00;-0.441098E+00; 0.582031E+00
  47297.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 122355.; 0.923878E-01;-0.322787E-02; 0.122612E-01;-0.177232E+00; 0.153308E+01;-0.680474E+00; 0.116228E+00;-0.446300E+00; 0.595900E+00
  47298.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 122356.; 0.929494E-01;-0.400361E-02; 0.141468E-01;-0.124878E+00; 0.167687E+01;-0.640705E+00; 0.995826E-01;-0.435088E+00; 0.605700E+00
  47299.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 122357.; 0.908310E-01;-0.409631E-02; 0.137357E-01;-0.119274E+00; 0.146994E+01;-0.651169E+00; 0.102515E+00;-0.429638E+00; 0.591264E+00
  47300.; 0.898315E-01;-0.237378E-02; 0.101270E-01; 122358.; 0.898315E-01;-0.237378E-02; 0.101270E-01;-0.236529E+00; 0.123272E+01;-0.723723E+00; 0.135409E+00;-0.451979E+00; 0.570849E+00
  47301.; 0.917857E-01;-0.225279E-02; 0.104567E-01; 122359.; 0.917857E-01;-0.225279E-02; 0.104567E-01;-0.243190E+00; 0.139694E+01;-0.726262E+00; 0.133008E+00;-0.456922E+00; 0.584231E+00
  47302.; 0.893139E-01;-0.151323E-02; 0.831608E-02; 122360.; 0.893139E-01;-0.151323E-02; 0.831608E-02;-0.292118E+00; 0.112319E+01;-0.755031E+00; 0.151966E+00;-0.463430E+00; 0.560234E+00
  47303.; 0.911864E-01;-0.138480E-02; 0.860582E-02; 122361.; 0.911864E-01;-0.138480E-02; 0.860582E-02;-0.300281E+00; 0.126786E+01;-0.762357E+00; 0.149840E+00;-0.468137E+00; 0.573109E+00
  47304.; 0.887809E-01;-0.613924E-03; 0.651477E-02; 122362.; 0.887809E-01;-0.613924E-03; 0.651477E-02;-0.350685E+00; 0.101947E+01;-0.784858E+00; 0.168669E+00;-0.475051E+00; 0.549033E+00
  47305.; 0.905811E-01;-0.553558E-03; 0.673890E-02; 122363.; 0.905811E-01;-0.553558E-03; 0.673890E-02;-0.353421E+00; 0.114743E+01;-0.793109E+00; 0.166679E+00;-0.479875E+00; 0.561976E+00
  47306.; 0.944239E-01;-0.310886E-02; 0.126593E-01; 122364.; 0.944239E-01;-0.310886E-02; 0.126593E-01;-0.184877E+00; 0.172247E+01;-0.675556E+00; 0.113493E+00;-0.451355E+00; 0.609699E+00
  47307.; 0.950660E-01;-0.390206E-02; 0.145887E-01; 122365.; 0.950660E-01;-0.390206E-02; 0.145887E-01;-0.131664E+00; 0.188892E+01;-0.628961E+00; 0.965341E-01;-0.440488E+00; 0.620007E+00
  47308.; 0.937406E-01;-0.212751E-02; 0.108097E-01; 122366.; 0.937406E-01;-0.212751E-02; 0.108097E-01;-0.250862E+00; 0.156598E+01;-0.727843E+00; 0.130540E+00;-0.461706E+00; 0.597594E+00
  47309.; 0.930611E-01;-0.125283E-02; 0.891603E-02; 122367.; 0.930611E-01;-0.125283E-02; 0.891603E-02;-0.307453E+00; 0.141857E+01;-0.768943E+00; 0.147574E+00;-0.472719E+00; 0.585998E+00
  47310.; 0.923756E-01;-0.415760E-03; 0.700851E-02; 122368.; 0.923756E-01;-0.415760E-03; 0.700851E-02;-0.360485E+00; 0.127980E+01;-0.804130E+00; 0.164615E+00;-0.484185E+00; 0.574395E+00
  47311.; 0.964528E-01;-0.298030E-02; 0.130880E-01; 122369.; 0.964528E-01;-0.298030E-02; 0.130880E-01;-0.192897E+00; 0.191703E+01;-0.670374E+00; 0.110698E+00;-0.456359E+00; 0.623304E+00
  47312.; 0.971744E-01;-0.378791E-02; 0.150649E-01; 122370.; 0.971744E-01;-0.378791E-02; 0.150649E-01;-0.139210E+00; 0.210612E+01;-0.617334E+00; 0.934185E-01;-0.445916E+00; 0.634064E+00
