Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  47287.; 0.630998E-01; 0.340595E-02;-0.274946E-01; 122345.; 0.630998E-01; 0.340595E-02;-0.274946E-01;-0.325409E-01; 0.177369E-01; 0.522280E-02;-0.111832E-03;-0.993501E-04; 0.724244E-04
  47288.; 0.630701E-01; 0.342982E-02;-0.257671E-01; 122346.; 0.630701E-01; 0.342982E-02;-0.257671E-01;-0.372247E-01; 0.173187E-01; 0.548320E-02;-0.102881E-03;-0.669139E-04; 0.623324E-04
  47291.; 0.631360E-01; 0.338077E-02;-0.292195E-01; 122349.; 0.631360E-01; 0.338077E-02;-0.292195E-01;-0.273265E-01; 0.179896E-01; 0.484459E-02;-0.118730E-03;-0.127827E-03; 0.768988E-04
  47293.; 0.631784E-01; 0.335451E-02;-0.309441E-01; 122351.; 0.631784E-01; 0.335451E-02;-0.309441E-01;-0.217727E-01; 0.182022E-01; 0.459387E-02;-0.125009E-03;-0.154089E-03; 0.857642E-04
  47295.; 0.632269E-01; 0.332660E-02;-0.326693E-01; 122353.; 0.632269E-01; 0.332660E-02;-0.326693E-01;-0.159374E-01; 0.183567E-01; 0.434168E-02;-0.132317E-03;-0.176638E-03; 0.901133E-04
  47296.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 122354.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 0.335489E-01; 0.887680E+00; 0.115331E+00; 0.831052E-04; 0.180499E-03;-0.110212E-03
  47297.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 122355.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 0.243448E-01; 0.101446E+01; 0.135630E+00; 0.827509E-04; 0.203812E-03;-0.113744E-03
  47298.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 122356.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 0.505409E-01; 0.106780E+01; 0.148271E+00; 0.940505E-04; 0.211760E-03;-0.114203E-03
  47299.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 122357.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 0.591525E-01; 0.928563E+00; 0.124422E+00; 0.943254E-04; 0.185628E-03;-0.111285E-03
  47300.; 0.898315E-01;-0.237378E-02; 0.101270E-01; 122358.; 0.898315E-01;-0.237378E-02; 0.101270E-01;-0.263164E-02; 0.846440E+00; 0.105324E+00; 0.703661E-04; 0.175804E-03;-0.108422E-03
  47301.; 0.917857E-01;-0.225279E-02; 0.104567E-01; 122359.; 0.917857E-01;-0.225279E-02; 0.104567E-01;-0.127132E-01; 0.961705E+00; 0.121836E+00; 0.698857E-04; 0.196455E-03;-0.112762E-03
  47302.; 0.893139E-01;-0.151323E-02; 0.831608E-02; 122360.; 0.893139E-01;-0.151323E-02; 0.831608E-02;-0.309838E-01; 0.807551E+00; 0.967215E-01; 0.590509E-04; 0.172122E-03;-0.106552E-03
