Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 0.399021E-01; 0.237690E-01;-0.103317E-01; 0.414487E-05;-0.163328E-03; 0.341642E-04
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 0.310162E-01; 0.174248E-01;-0.106379E-01; 0.152957E-05;-0.140419E-03; 0.337046E-04
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 0.484150E-01; 0.297698E-01;-0.983796E-02; 0.789400E-05;-0.184903E-03; 0.331913E-04
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 0.565412E-01; 0.353291E-01;-0.913648E-02; 0.108920E-04;-0.205037E-03; 0.315447E-04
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 0.642564E-01; 0.402850E-01;-0.828150E-02; 0.133810E-04;-0.222725E-03; 0.287765E-04
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01;-0.263499E+00;-0.197198E+01;-0.427042E+00;-0.150906E-04; 0.134046E-03; 0.370347E-04
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01;-0.244370E+00;-0.222207E+01;-0.491404E+00;-0.145591E-04; 0.123658E-03; 0.292964E-04
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01;-0.270573E+00;-0.244673E+01;-0.570044E+00;-0.120538E-04; 0.124183E-03; 0.286402E-04
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01;-0.292493E+00;-0.216085E+01;-0.492506E+00;-0.127912E-04; 0.136137E-03; 0.369883E-04
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02;-0.254626E+00;-0.179149E+01;-0.379421E+00;-0.184884E-04; 0.130992E-03; 0.378476E-04
  71444.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 146502.; 0.920431E-01;-0.411688E-02; 0.968918E-02;-0.238568E+00;-0.200827E+01;-0.433652E+00;-0.182237E-04; 0.122122E-03; 0.306510E-04
  71445.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 146503.; 0.895896E-01;-0.376046E-02; 0.744564E-02;-0.232768E+00;-0.162538E+01;-0.333472E+00;-0.212338E-04; 0.127637E-03; 0.384254E-04
  71446.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 146504.; 0.914903E-01;-0.360423E-02; 0.773061E-02;-0.221414E+00;-0.181117E+01;-0.377115E+00;-0.212714E-04; 0.120060E-03; 0.317909E-04
  71447.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 146505.; 0.891192E-01;-0.335331E-02; 0.549944E-02;-0.216542E+00;-0.147133E+01;-0.296435E+00;-0.238061E-04; 0.123527E-03; 0.390749E-04
  71448.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 146506.; 0.909277E-01;-0.311651E-02; 0.577509E-02;-0.200542E+00;-0.163057E+01;-0.326082E+00;-0.238662E-04; 0.117194E-03; 0.327914E-04
  71449.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 146507.; 0.946272E-01;-0.445045E-02; 0.120767E-01;-0.225058E+00;-0.247693E+01;-0.555588E+00;-0.117036E-04; 0.112859E-03; 0.204501E-04
  71450.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 146508.; 0.952622E-01;-0.518738E-02; 0.140192E-01;-0.248625E+00;-0.273756E+01;-0.646850E+00;-0.914923E-05; 0.111635E-03; 0.190519E-04
