Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  47287.; 0.630998E-01; 0.340595E-02;-0.274946E-01; 122345.; 0.630998E-01; 0.340595E-02;-0.274946E-01;-0.902255E-02; 0.213642E-01; 0.246614E-01;-0.862020E-06;-0.430568E-03; 0.430250E-03
  47288.; 0.630701E-01; 0.342982E-02;-0.257671E-01; 122346.; 0.630701E-01; 0.342982E-02;-0.257671E-01;-0.608486E-02; 0.152707E-01; 0.245737E-01;-0.118537E-04;-0.363540E-03; 0.405308E-03
  47291.; 0.631360E-01; 0.338077E-02;-0.292195E-01; 122349.; 0.631360E-01; 0.338077E-02;-0.292195E-01;-0.121975E-01; 0.271599E-01; 0.246732E-01; 0.151900E-04;-0.487955E-03; 0.441152E-03
  47293.; 0.631784E-01; 0.335451E-02;-0.309441E-01; 122351.; 0.631784E-01; 0.335451E-02;-0.309441E-01;-0.155081E-01; 0.331036E-01; 0.244527E-01; 0.319379E-04;-0.539406E-03; 0.462364E-03
  47295.; 0.632269E-01; 0.332660E-02;-0.326693E-01; 122353.; 0.632269E-01; 0.332660E-02;-0.326693E-01;-0.186828E-01; 0.389620E-01; 0.237523E-01; 0.478173E-04;-0.583981E-03; 0.473321E-03
  47296.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 122354.; 0.903502E-01;-0.333868E-02; 0.118911E-01;-0.100741E+00;-0.199528E+01;-0.324531E+00;-0.382450E-03; 0.806708E-03; 0.713705E-03
  47297.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 122355.; 0.923878E-01;-0.322787E-02; 0.122612E-01;-0.843685E-01;-0.225011E+01;-0.373306E+00;-0.390238E-03; 0.869956E-03; 0.749400E-03
  47298.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 122356.; 0.929494E-01;-0.400361E-02; 0.141468E-01;-0.109844E+00;-0.247535E+01;-0.452850E+00;-0.412182E-03; 0.954155E-03; 0.789246E-03
  47299.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 122357.; 0.908310E-01;-0.409631E-02; 0.137357E-01;-0.127782E+00;-0.218434E+01;-0.391700E+00;-0.402621E-03; 0.879966E-03; 0.748372E-03
  47300.; 0.898315E-01;-0.237378E-02; 0.101270E-01; 122358.; 0.898315E-01;-0.237378E-02; 0.101270E-01;-0.550559E-01;-0.181949E+01;-0.250005E+00;-0.366818E-03; 0.739402E-03; 0.674893E-03
  47301.; 0.917857E-01;-0.225279E-02; 0.104567E-01; 122359.; 0.917857E-01;-0.225279E-02; 0.104567E-01;-0.393887E-01;-0.204103E+01;-0.284881E+00;-0.373162E-03; 0.792824E-03; 0.704857E-03
  47302.; 0.893139E-01;-0.151323E-02; 0.831608E-02; 122360.; 0.893139E-01;-0.151323E-02; 0.831608E-02;-0.237097E-01;-0.165601E+01;-0.188632E+00;-0.346990E-03; 0.675633E-03; 0.640909E-03
  47303.; 0.911864E-01;-0.138480E-02; 0.860582E-02; 122361.; 0.911864E-01;-0.138480E-02; 0.860582E-02;-0.700237E-02;-0.184585E+01;-0.213457E+00;-0.352649E-03; 0.719643E-03; 0.666507E-03
  47304.; 0.887809E-01;-0.613924E-03; 0.651477E-02; 122362.; 0.887809E-01;-0.613924E-03; 0.651477E-02; 0.124944E-01;-0.150309E+01;-0.130271E+00;-0.328212E-03; 0.614827E-03; 0.606867E-03
  47305.; 0.905811E-01;-0.553558E-03; 0.673890E-02; 122363.; 0.905811E-01;-0.553558E-03; 0.673890E-02; 0.200353E-01;-0.166624E+01;-0.151445E+00;-0.330441E-03; 0.650866E-03; 0.631129E-03
  47306.; 0.944239E-01;-0.310886E-02; 0.126593E-01; 122364.; 0.944239E-01;-0.310886E-02; 0.126593E-01;-0.652087E-01;-0.250972E+01;-0.422684E+00;-0.400810E-03; 0.931980E-03; 0.785082E-03
  47307.; 0.950660E-01;-0.390206E-02; 0.145887E-01; 122365.; 0.950660E-01;-0.390206E-02; 0.145887E-01;-0.899894E-01;-0.277123E+01;-0.515661E+00;-0.423910E-03; 0.102638E-02; 0.830139E-03
  47308.; 0.937406E-01;-0.212751E-02; 0.108097E-01; 122366.; 0.937406E-01;-0.212751E-02; 0.108097E-01;-0.221061E-01;-0.226831E+01;-0.321263E+00;-0.382428E-03; 0.845503E-03; 0.735584E-03
  47309.; 0.930611E-01;-0.125283E-02; 0.891603E-02; 122367.; 0.930611E-01;-0.125283E-02; 0.891603E-02; 0.788289E-02;-0.204404E+01;-0.239444E+00;-0.360740E-03; 0.763902E-03; 0.693156E-03
  47310.; 0.923756E-01;-0.415760E-03; 0.700851E-02; 122368.; 0.923756E-01;-0.415760E-03; 0.700851E-02; 0.333240E-01;-0.183521E+01;-0.168014E+00;-0.337730E-03; 0.686360E-03; 0.653850E-03
  47311.; 0.964528E-01;-0.298030E-02; 0.130880E-01; 122369.; 0.964528E-01;-0.298030E-02; 0.130880E-01;-0.457299E-01;-0.277531E+01;-0.471904E+00;-0.410358E-03; 0.995007E-03; 0.819885E-03
  47312.; 0.971744E-01;-0.378791E-02; 0.150649E-01; 122370.; 0.971744E-01;-0.378791E-02; 0.150649E-01;-0.692952E-01;-0.307241E+01;-0.577415E+00;-0.435008E-03; 0.109913E-02; 0.869722E-03
  47313.; 0.957008E-01;-0.206524E-02; 0.111602E-01; 122371.; 0.957008E-01;-0.206524E-02; 0.111602E-01;-0.124075E-01;-0.250052E+01;-0.365421E+00;-0.388326E-03; 0.898942E-03; 0.768797E-03
