Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  47287.; 0.630998E-01; 0.340595E-02;-0.274946E-01; 122345.; 0.630998E-01; 0.340595E-02;-0.274946E-01;-0.327684E-01; 0.181858E-01; 0.558319E-02; 0.154092E-03;-0.261103E-03; 0.158140E-03
  47288.; 0.630701E-01; 0.342982E-02;-0.257671E-01; 122346.; 0.630701E-01; 0.342982E-02;-0.257671E-01;-0.374577E-01; 0.177649E-01; 0.583681E-02; 0.166345E-03;-0.187983E-03; 0.137670E-03
  47291.; 0.631360E-01; 0.338077E-02;-0.292195E-01; 122349.; 0.631360E-01; 0.338077E-02;-0.292195E-01;-0.275502E-01; 0.184424E-01; 0.521129E-02; 0.146667E-03;-0.326204E-03; 0.166866E-03
  47293.; 0.631784E-01; 0.335451E-02;-0.309441E-01; 122351.; 0.631784E-01; 0.335451E-02;-0.309441E-01;-0.219924E-01; 0.186578E-01; 0.496670E-02; 0.140180E-03;-0.386470E-03; 0.184909E-03
  47295.; 0.632269E-01; 0.332660E-02;-0.326693E-01; 122353.; 0.632269E-01; 0.332660E-02;-0.326693E-01;-0.161544E-01; 0.188157E-01; 0.471909E-02; 0.131970E-03;-0.439380E-03; 0.193984E-03
  47296.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 122354.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 0.333776E-01; 0.888666E+00; 0.115710E+00; 0.442917E-03; 0.989410E-03;-0.370568E-04
  47297.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 122355.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 0.241651E-01; 0.101540E+01; 0.136007E+00; 0.438467E-03; 0.108114E-02;-0.334592E-04
  47298.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 122356.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 0.503422E-01; 0.106870E+01; 0.148640E+00; 0.462044E-03; 0.115168E-02;-0.130751E-04
  47299.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 122357.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 0.589646E-01; 0.929507E+00; 0.124794E+00; 0.466705E-03; 0.104875E-02;-0.200137E-04
  47300.; 0.898315E-01;-0.237378E-02; 0.101270E-01; 122358.; 0.898315E-01;-0.237378E-02; 0.101270E-01;-0.278627E-02; 0.847469E+00; 0.105716E+00; 0.412566E-03; 0.934309E-03;-0.556753E-04
