Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 0.773278E-01; 0.216972E-01; 0.447866E-01; 0.162492E-01; 0.357173E-02; 0.676555E-02
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 0.726928E-01; 0.224104E-01; 0.445425E-01; 0.159047E-01; 0.328023E-02; 0.680070E-02
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 0.821404E-01; 0.207762E-01; 0.451063E-01; 0.166116E-01; 0.389381E-02; 0.670726E-02
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 0.871625E-01; 0.196166E-01; 0.453837E-01; 0.169717E-01; 0.424909E-02; 0.663543E-02
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 0.924517E-01; 0.182469E-01; 0.457088E-01; 0.173380E-01; 0.464905E-02; 0.655907E-02
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 0.104267E+00; 0.855302E+00; 0.188471E+00; 0.502133E-02;-0.165433E-01; 0.174245E-01
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 0.959545E-01; 0.977439E+00; 0.215041E+00; 0.497931E-02;-0.174626E-01; 0.181326E-01
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 0.118032E+00; 0.102731E+01; 0.226126E+00; 0.408392E-02;-0.181399E-01; 0.181058E-01
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 0.126382E+00; 0.893463E+00; 0.195530E+00; 0.413062E-02;-0.171512E-01; 0.173882E-01
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 0.965376E-01; 0.819435E+00; 0.181323E+00; 0.584584E-02;-0.159306E-01; 0.173946E-01
  71444.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 146502.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 0.885137E-01; 0.930872E+00; 0.204903E+00; 0.581305E-02;-0.167892E-01; 0.180914E-01
  71445.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 146503.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 0.844292E-01; 0.784828E+00; 0.174485E+00; 0.668194E-02;-0.153317E-01; 0.173683E-01
  71446.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 146504.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 0.771627E-01; 0.886254E+00; 0.195061E+00; 0.666190E-02;-0.161367E-01; 0.180491E-01
  71447.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 146505.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 0.772753E-01; 0.752751E+00; 0.168131E+00; 0.749484E-02;-0.147442E-01; 0.173162E-01
  71448.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 146506.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 0.663818E-01; 0.844502E+00; 0.185493E+00; 0.750718E-02;-0.155077E-01; 0.179876E-01
  71449.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 146507.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 0.867217E-01; 0.110341E+01; 0.242422E+00; 0.494137E-02;-0.183952E-01; 0.188156E-01
  71450.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 146508.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 0.108671E+00; 0.116539E+01; 0.257470E+00; 0.404099E-02;-0.191486E-01; 0.187948E-01
  71451.; 0.940149E-01;-0.397147E-02; 0.100420E-01; 146509.; 0.940149E-01;-0.397147E-02; 0.100420E-01; 0.795396E-01; 0.104572E+01; 0.229260E+00; 0.578456E-02;-0.176555E-01; 0.187644E-01
  71452.; 0.933807E-01;-0.345062E-02; 0.804224E-02; 146510.; 0.933807E-01;-0.345062E-02; 0.804224E-02; 0.682889E-01; 0.991058E+00; 0.216704E+00; 0.664149E-02;-0.169440E-01; 0.187080E-01
  71453.; 0.927367E-01;-0.296131E-02; 0.604603E-02; 146511.; 0.927367E-01;-0.296131E-02; 0.604603E-02; 0.581433E-01; 0.939809E+00; 0.204537E+00; 0.749636E-02;-0.162616E-01; 0.186295E-01
  71454.; 0.966715E-01;-0.430929E-02; 0.125047E-01; 146512.; 0.966715E-01;-0.430929E-02; 0.125047E-01; 0.757353E-01; 0.123308E+01; 0.270470E+00; 0.489172E-02;-0.193494E-01; 0.194834E-01
  71455.; 0.973855E-01;-0.505215E-02; 0.144979E-01; 146513.; 0.973855E-01;-0.505215E-02; 0.144979E-01; 0.972000E-01; 0.130736E+01; 0.289646E+00; 0.398738E-02;-0.201888E-01; 0.194660E-01
  71456.; 0.959803E-01;-0.381932E-02; 0.104242E-01; 146514.; 0.959803E-01;-0.381932E-02; 0.104242E-01; 0.690089E-01; 0.116416E+01; 0.254211E+00; 0.574156E-02;-0.185332E-01; 0.194263E-01
  71457.; 0.952661E-01;-0.329316E-02; 0.837985E-02; 146515.; 0.952661E-01;-0.329316E-02; 0.837985E-02; 0.583657E-01; 0.109880E+01; 0.238764E+00; 0.660996E-02;-0.177576E-01; 0.193573E-01
  71458.; 0.945416E-01;-0.280108E-02; 0.634118E-02; 146516.; 0.945416E-01;-0.280108E-02; 0.634118E-02; 0.490707E-01; 0.103791E+01; 0.223927E+00; 0.747447E-02;-0.170173E-01; 0.192622E-01
  71459.; 0.987077E-01;-0.415876E-02; 0.129645E-01; 146517.; 0.987077E-01;-0.415876E-02; 0.129645E-01; 0.633076E-01; 0.136571E+01; 0.298790E+00; 0.484432E-02;-0.203215E-01; 0.201324E-01
  71460.; 0.994995E-01;-0.490446E-02; 0.150123E-01; 146518.; 0.994995E-01;-0.490446E-02; 0.150123E-01; 0.838073E-01; 0.145257E+01; 0.322165E+00; 0.393591E-02;-0.212527E-01; 0.201155E-01
  71461.; 0.979271E-01;-0.359134E-02; 0.108642E-01; 146519.; 0.979271E-01;-0.359134E-02; 0.108642E-01; 0.526336E-01; 0.128503E+01; 0.278302E+00; 0.572040E-02;-0.194320E-01; 0.200839E-01
  71462.; 0.971461E-01;-0.313171E-02; 0.874287E-02; 146520.; 0.971461E-01;-0.313171E-02; 0.874287E-02; 0.472682E-01; 0.120922E+01; 0.261301E+00; 0.657633E-02;-0.185778E-01; 0.199914E-01
  71463.; 0.963425E-01;-0.263867E-02; 0.665896E-02; 146521.; 0.963425E-01;-0.263867E-02; 0.665896E-02; 0.387081E-01; 0.113830E+01; 0.243844E+00; 0.745056E-02;-0.177721E-01; 0.198834E-01
