Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 0.404742E-01; 0.658900E-02; 0.286318E-01; 0.119568E-01; 0.565849E-01;-0.547387E-02
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 0.396378E-01; 0.641365E-02; 0.286498E-01; 0.114314E-01; 0.563062E-01;-0.563342E-02
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 0.413104E-01; 0.676406E-02; 0.286123E-01; 0.126322E-01; 0.567435E-01;-0.524806E-02
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 0.421485E-01; 0.693735E-02; 0.285917E-01; 0.134496E-01; 0.567745E-01;-0.503697E-02
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 0.429882E-01; 0.710926E-02; 0.285688E-01; 0.144365E-01; 0.567038E-01;-0.479317E-02
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 0.211632E-01; 0.162074E-02; 0.418066E-01; 0.117211E+00; 0.501184E+00;-0.184448E-01
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 0.209794E-01; 0.150100E-02; 0.428484E-01; 0.117459E+00; 0.550882E+00;-0.190298E-01
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 0.200015E-01; 0.126002E-02; 0.430481E-01; 0.137932E+00; 0.561410E+00;-0.233416E-01
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 0.202093E-01; 0.138627E-02; 0.419652E-01; 0.136765E+00; 0.510059E+00;-0.224681E-01
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 0.221578E-01; 0.186415E-02; 0.416301E-01; 0.104508E+00; 0.492200E+00;-0.161530E-01
