Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 0.346881E-01; 0.245289E-01; 0.103432E-01;-0.528956E-04;-0.756287E-04;-0.678652E-04
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 0.324066E-01; 0.253034E-01; 0.101194E-01;-0.575273E-04;-0.483218E-04;-0.681291E-04
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 0.371625E-01; 0.235748E-01; 0.106419E-01;-0.451109E-04;-0.102295E-03;-0.702370E-04
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 0.398463E-01; 0.224167E-01; 0.108988E-01;-0.382252E-04;-0.127429E-03;-0.746147E-04
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 0.427992E-01; 0.210788E-01; 0.112175E-01;-0.317986E-04;-0.150179E-03;-0.798407E-04
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 0.120457E+00; 0.893854E+00; 0.125755E+00; 0.972356E-04; 0.182497E-03;-0.110906E-03
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 0.112464E+00; 0.102057E+01; 0.150481E+00; 0.968395E-04; 0.205595E-03;-0.113266E-03
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 0.137889E+00; 0.107429E+01; 0.161945E+00; 0.108113E-03; 0.213460E-03;-0.113515E-03
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 0.145864E+00; 0.935292E+00; 0.133118E+00; 0.108561E-03; 0.187612E-03;-0.111920E-03
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 0.109708E+00; 0.854812E+00; 0.118517E+00; 0.879201E-04; 0.178578E-03;-0.110087E-03
  71444.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 146502.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 0.101967E+00; 0.970298E+00; 0.140211E+00; 0.876770E-04; 0.198999E-03;-0.112900E-03
  71445.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 146503.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 0.943960E-01; 0.817245E+00; 0.111619E+00; 0.776583E-04; 0.175262E-03;-0.108654E-03
  71446.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 146504.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 0.874204E-01; 0.922220E+00; 0.130267E+00; 0.777722E-04; 0.193184E-03;-0.112089E-03
  71447.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 146505.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 0.841415E-01; 0.782425E+00; 0.105327E+00; 0.681590E-04; 0.172460E-03;-0.107103E-03
  71448.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 146506.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 0.734192E-01; 0.877264E+00; 0.120656E+00; 0.678213E-04; 0.188089E-03;-0.110925E-03
  71449.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 146507.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 0.103597E+00; 0.115125E+01; 0.176027E+00; 0.960691E-04; 0.228689E-03;-0.115519E-03
  71450.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 146508.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 0.128954E+00; 0.121766E+01; 0.191531E+00; 0.107367E-03; 0.239282E-03;-0.115139E-03
