Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 0.107259E-03;-0.289163E-04; 0.517210E-05; 0.185767E-01; 0.171140E-01; 0.105343E-02
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 0.108981E-03;-0.369508E-04; 0.640460E-05; 0.179186E-01; 0.176328E-01; 0.905588E-03
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 0.103172E-03;-0.201621E-04; 0.485179E-05; 0.193907E-01; 0.164781E-01; 0.126651E-02
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 0.984625E-04;-0.114781E-04; 0.566925E-05; 0.203495E-01; 0.157198E-01; 0.146411E-02
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 0.935779E-04;-0.248461E-05; 0.681543E-05; 0.214786E-01; 0.148603E-01; 0.169904E-02
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01;-0.428995E-04; 0.388284E-04; 0.878657E-04; 0.121655E+00; 0.480773E+00;-0.849625E-02
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01;-0.441854E-04; 0.366918E-04; 0.924225E-04; 0.121905E+00; 0.530810E+00;-0.898539E-02
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01;-0.495017E-04; 0.374119E-04; 0.943356E-04; 0.142311E+00; 0.542340E+00;-0.129237E-01
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01;-0.481104E-04; 0.400006E-04; 0.897288E-04; 0.141135E+00; 0.490626E+00;-0.121510E-01
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02;-0.375779E-04; 0.373927E-04; 0.863939E-04; 0.109058E+00; 0.470750E+00;-0.645056E-02
  71444.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 146502.; 0.920431E-01;-0.411688E-02; 0.968918E-02;-0.388272E-04; 0.356935E-04; 0.908655E-04; 0.108431E+00; 0.519260E+00;-0.675404E-02
  71445.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 146503.; 0.895896E-01;-0.376046E-02; 0.744564E-02;-0.321978E-04; 0.358959E-04; 0.847539E-04; 0.951310E-01; 0.459829E+00;-0.476914E-02
  71446.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 146504.; 0.914903E-01;-0.360423E-02; 0.773061E-02;-0.334513E-04; 0.345747E-04; 0.891664E-04; 0.940152E-01; 0.506643E+00;-0.481547E-02
