Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01;-0.266727E-02;-0.184930E-03;-0.359621E-03; 0.197640E-01; 0.186590E-01; 0.119655E-02
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01;-0.263035E-02;-0.203181E-03;-0.363303E-03; 0.190878E-01; 0.191529E-01; 0.104290E-02
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01;-0.270836E-02;-0.163752E-03;-0.354418E-03; 0.205910E-01; 0.180425E-01; 0.141696E-02
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01;-0.275009E-02;-0.140904E-03;-0.347442E-03; 0.215597E-01; 0.172974E-01; 0.162306E-02
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01;-0.279204E-02;-0.116268E-03;-0.340633E-03; 0.226964E-01; 0.164472E-01; 0.186446E-02
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01;-0.150414E-02; 0.563344E-03;-0.116430E-02; 0.122062E+00; 0.486552E+00;-0.857614E-02
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01;-0.149567E-02; 0.687853E-03;-0.120717E-02; 0.122263E+00; 0.536880E+00;-0.904941E-02
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01;-0.140109E-02; 0.695925E-03;-0.123900E-02; 0.142748E+00; 0.548401E+00;-0.129923E-01
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01;-0.141356E-02; 0.565930E-03;-0.119445E-02; 0.141627E+00; 0.496384E+00;-0.122386E-01
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02;-0.157933E-02; 0.560607E-03;-0.114349E-02; 0.109419E+00; 0.476565E+00;-0.652356E-02
  71444.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 146502.; 0.920431E-01;-0.411688E-02; 0.968918E-02;-0.157425E-02; 0.680845E-03;-0.118428E-02; 0.108745E+00; 0.525351E+00;-0.681273E-02
  71445.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 146503.; 0.895896E-01;-0.376046E-02; 0.744564E-02;-0.165695E-02; 0.554841E-03;-0.112328E-02; 0.954386E-01; 0.465677E+00;-0.482959E-02
  71446.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 146504.; 0.914903E-01;-0.360423E-02; 0.773061E-02;-0.165440E-02; 0.670574E-03;-0.116142E-02; 0.942768E-01; 0.512755E+00;-0.486392E-02
  71447.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 146505.; 0.891192E-01;-0.335331E-02; 0.549944E-02;-0.172885E-02; 0.550749E-03;-0.110628E-02; 0.841154E-01; 0.455158E+00;-0.382281E-02
  71448.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 146506.; 0.909277E-01;-0.311651E-02; 0.577509E-02;-0.173198E-02; 0.659591E-03;-0.114159E-02; 0.808218E-01; 0.499665E+00;-0.383123E-02
  71449.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 146507.; 0.946272E-01;-0.445045E-02; 0.120767E-01;-0.148454E-02; 0.817442E-03;-0.125068E-02; 0.122187E+00; 0.588127E+00;-0.957014E-02
  71450.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 146508.; 0.952622E-01;-0.518738E-02; 0.140192E-01;-0.138631E-02; 0.830914E-03;-0.128420E-02; 0.143581E+00; 0.601351E+00;-0.137098E-01
  71451.; 0.940149E-01;-0.397147E-02; 0.100420E-01; 146509.; 0.940149E-01;-0.397147E-02; 0.100420E-01;-0.156586E-02; 0.805230E-03;-0.122585E-02; 0.107974E+00; 0.574875E+00;-0.714239E-02
  71452.; 0.933807E-01;-0.345062E-02; 0.804224E-02; 146510.; 0.933807E-01;-0.345062E-02; 0.804224E-02;-0.164884E-02; 0.790065E-03;-0.120093E-02; 0.928160E-01; 0.560488E+00;-0.500193E-02
  71453.; 0.927367E-01;-0.296131E-02; 0.604603E-02; 146511.; 0.927367E-01;-0.296131E-02; 0.604603E-02;-0.172837E-02; 0.774525E-03;-0.117874E-02; 0.790036E-01; 0.545741E+00;-0.372356E-02
  71454.; 0.966715E-01;-0.430929E-02; 0.125047E-01; 146512.; 0.966715E-01;-0.430929E-02; 0.125047E-01;-0.147677E-02; 0.950132E-03;-0.129276E-02; 0.121667E+00; 0.640098E+00;-0.101903E-01
  71455.; 0.973855E-01;-0.505215E-02; 0.144979E-01; 146513.; 0.973855E-01;-0.505215E-02; 0.144979E-01;-0.137504E-02; 0.969140E-03;-0.132773E-02; 0.143864E+00; 0.655016E+00;-0.144965E-01
  71456.; 0.959803E-01;-0.381932E-02; 0.104242E-01; 146514.; 0.959803E-01;-0.381932E-02; 0.104242E-01;-0.156128E-02; 0.933098E-03;-0.126579E-02; 0.106664E+00; 0.625262E+00;-0.750532E-02
  71457.; 0.952661E-01;-0.329316E-02; 0.837985E-02; 146515.; 0.952661E-01;-0.329316E-02; 0.837985E-02;-0.164635E-02; 0.912374E-03;-0.123893E-02; 0.911557E-01; 0.608950E+00;-0.523595E-02
  71458.; 0.945416E-01;-0.280108E-02; 0.634118E-02; 146516.; 0.945416E-01;-0.280108E-02; 0.634118E-02;-0.172790E-02; 0.891495E-03;-0.121474E-02; 0.769625E-01; 0.592263E+00;-0.378574E-02
  71459.; 0.987077E-01;-0.415876E-02; 0.129645E-01; 146517.; 0.987077E-01;-0.415876E-02; 0.129645E-01;-0.146786E-02; 0.108517E-02;-0.133568E-02; 0.120724E+00; 0.692526E+00;-0.109099E-01
  71460.; 0.994995E-01;-0.490446E-02; 0.150123E-01; 146518.; 0.994995E-01;-0.490446E-02; 0.150123E-01;-0.136339E-02; 0.110971E-02;-0.137204E-02; 0.143488E+00; 0.709217E+00;-0.153413E-01
  71461.; 0.979271E-01;-0.359134E-02; 0.108642E-01; 146519.; 0.979271E-01;-0.359134E-02; 0.108642E-01;-0.155918E-02; 0.106090E-02;-0.130574E-02; 0.103335E+00; 0.675344E+00;-0.799087E-02
  71462.; 0.971461E-01;-0.313171E-02; 0.874287E-02; 146520.; 0.971461E-01;-0.313171E-02; 0.874287E-02;-0.164252E-02; 0.103712E-02;-0.127795E-02; 0.891403E-01; 0.657922E+00;-0.554834E-02
  71463.; 0.963425E-01;-0.263867E-02; 0.665896E-02; 146521.; 0.963425E-01;-0.263867E-02; 0.665896E-02;-0.172584E-02; 0.101111E-02;-0.125168E-02; 0.746715E-01; 0.639448E+00;-0.390960E-02
  71464.; 0.100735E+00;-0.399800E-02; 0.134552E-01; 146522.; 0.100735E+00;-0.399800E-02; 0.134552E-01;-0.146114E-02; 0.122192E-02;-0.137792E-02; 0.119327E+00; 0.745528E+00;-0.117147E-01
  71465.; 0.101604E+00;-0.474334E-02; 0.155613E-01; 146523.; 0.101604E+00;-0.474334E-02; 0.155613E-01;-0.135425E-02; 0.125139E-02;-0.141563E-02; 0.142498E+00; 0.763772E+00;-0.162688E-01
  71466.; 0.998780E-01;-0.342710E-02; 0.113019E-01; 146524.; 0.998780E-01;-0.342710E-02; 0.113019E-01;-0.155468E-02; 0.119294E-02;-0.134598E-02; 0.101562E+00; 0.726789E+00;-0.855184E-02
  71467.; 0.990203E-01;-0.296520E-02; 0.913062E-02; 146525.; 0.990203E-01;-0.296520E-02; 0.913062E-02;-0.164021E-02; 0.116386E-02;-0.131633E-02; 0.869824E-01; 0.707494E+00;-0.598064E-02
  71468.; 0.981393E-01;-0.247319E-02; 0.699883E-02; 146526.; 0.981393E-01;-0.247319E-02; 0.699883E-02;-0.172550E-02; 0.113261E-02;-0.128801E-02; 0.721799E-01; 0.687237E+00;-0.410877E-02
  71469.; 0.102755E+00;-0.382578E-02; 0.139753E-01; 146527.; 0.102755E+00;-0.382578E-02; 0.139753E-01;-0.145446E-02; 0.135980E-02;-0.142072E-02; 0.117330E+00; 0.798825E+00;-0.125563E-01
  71470.; 0.103699E+00;-0.456723E-02; 0.161431E-01; 146528.; 0.103699E+00;-0.456723E-02; 0.161431E-01;-0.134540E-02; 0.139374E-02;-0.146002E-02; 0.140825E+00; 0.818541E+00;-0.172939E-01
