Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  47287.; 0.630998E-01; 0.340595E-02;-0.274946E-01; 122345.; 0.630998E-01; 0.340595E-02;-0.274946E-01;-0.320941E-01; 0.197984E-01; 0.823354E-02; 0.407918E-02;-0.123513E-02; 0.811762E-03
  47288.; 0.630701E-01; 0.342982E-02;-0.257671E-01; 122346.; 0.630701E-01; 0.342982E-02;-0.257671E-01;-0.369312E-01; 0.193353E-01; 0.845890E-02; 0.403187E-02;-0.105882E-02; 0.772861E-03
  47291.; 0.631360E-01; 0.338077E-02;-0.292195E-01; 122349.; 0.631360E-01; 0.338077E-02;-0.292195E-01;-0.267331E-01; 0.200982E-01; 0.788990E-02; 0.413942E-02;-0.139457E-02; 0.824220E-03
  47293.; 0.631784E-01; 0.335451E-02;-0.309441E-01; 122351.; 0.631784E-01; 0.335451E-02;-0.309441E-01;-0.210320E-01; 0.203514E-01; 0.767191E-02; 0.419823E-02;-0.154102E-02; 0.858808E-03
  47295.; 0.632269E-01; 0.332660E-02;-0.326693E-01; 122353.; 0.632269E-01; 0.332660E-02;-0.326693E-01;-0.150538E-01; 0.205455E-01; 0.744681E-02; 0.425534E-02;-0.167338E-02; 0.876475E-03
  47296.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 122354.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 0.309371E-01; 0.887806E+00; 0.119982E+00; 0.260986E-02; 0.267259E-02; 0.194466E-02
  47297.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 122355.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 0.216810E-01; 0.101406E+01; 0.140394E+00; 0.258937E-02; 0.284378E-02; 0.203370E-02
  47298.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 122356.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 0.475886E-01; 0.106684E+01; 0.152925E+00; 0.253472E-02; 0.316064E-02; 0.217373E-02
  47299.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 122357.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 0.562642E-01; 0.928205E+00; 0.128980E+00; 0.255884E-02; 0.296222E-02; 0.207158E-02
  47300.; 0.898315E-01;-0.237378E-02; 0.101270E-01; 122358.; 0.898315E-01;-0.237378E-02; 0.101270E-01;-0.494714E-02; 0.847034E+00; 0.110110E+00; 0.264835E-02; 0.240806E-02; 0.179824E-02
  47301.; 0.917857E-01;-0.225279E-02; 0.104567E-01; 122359.; 0.917857E-01;-0.225279E-02; 0.104567E-01;-0.150680E-01; 0.961841E+00; 0.126755E+00; 0.263222E-02; 0.255202E-02; 0.187106E-02
  47302.; 0.893139E-01;-0.151323E-02; 0.831608E-02; 122360.; 0.893139E-01;-0.151323E-02; 0.831608E-02;-0.330271E-01; 0.808602E+00; 0.101613E+00; 0.269655E-02; 0.215413E-02; 0.167077E-02
  47303.; 0.911864E-01;-0.138480E-02; 0.860582E-02; 122361.; 0.911864E-01;-0.138480E-02; 0.860582E-02;-0.440597E-01; 0.912698E+00; 0.115425E+00; 0.268154E-02; 0.227049E-02; 0.173160E-02
  47304.; 0.887809E-01;-0.613924E-03; 0.651477E-02; 122362.; 0.887809E-01;-0.613924E-03; 0.651477E-02;-0.626080E-01; 0.771863E+00; 0.936509E-01; 0.274030E-02; 0.190936E-02; 0.154084E-02
  47305.; 0.905811E-01;-0.553558E-03; 0.673890E-02; 122363.; 0.905811E-01;-0.553558E-03; 0.673890E-02;-0.695788E-01; 0.866917E+00; 0.105563E+00; 0.273479E-02; 0.200150E-02; 0.160073E-02
  47306.; 0.944239E-01;-0.310886E-02; 0.126593E-01; 122364.; 0.944239E-01;-0.310886E-02; 0.126593E-01; 0.108461E-01; 0.114456E+01; 0.161836E+00; 0.257820E-02; 0.301269E-02; 0.211507E-02
  47307.; 0.950660E-01;-0.390206E-02; 0.145887E-01; 122365.; 0.950660E-01;-0.390206E-02; 0.145887E-01; 0.374424E-01; 0.121018E+01; 0.178287E+00; 0.252101E-02; 0.335522E-02; 0.226829E-02
  47308.; 0.937406E-01;-0.212751E-02; 0.108097E-01; 122366.; 0.937406E-01;-0.212751E-02; 0.108097E-01;-0.261685E-01; 0.108087E+01; 0.144413E+00; 0.262458E-02; 0.269645E-02; 0.193957E-02
  47309.; 0.930611E-01;-0.125283E-02; 0.891603E-02; 122367.; 0.930611E-01;-0.125283E-02; 0.891603E-02;-0.551905E-01; 0.102137E+01; 0.130130E+00; 0.267778E-02; 0.239147E-02; 0.178852E-02
  47310.; 0.923756E-01;-0.415760E-03; 0.700851E-02; 122368.; 0.923756E-01;-0.415760E-03; 0.700851E-02;-0.808298E-01; 0.965470E+00; 0.117652E+00; 0.273341E-02; 0.209681E-02; 0.164642E-02
  47311.; 0.964528E-01;-0.298030E-02; 0.130880E-01; 122369.; 0.964528E-01;-0.298030E-02; 0.130880E-01;-0.758152E-03; 0.127920E+01; 0.183941E+00; 0.255826E-02; 0.317417E-02; 0.219459E-02
  47312.; 0.971744E-01;-0.378791E-02; 0.150649E-01; 122370.; 0.971744E-01;-0.378791E-02; 0.150649E-01; 0.261998E-01; 0.135773E+01; 0.204263E+00; 0.249849E-02; 0.353974E-02; 0.235896E-02
  47313.; 0.957008E-01;-0.206524E-02; 0.111602E-01; 122371.; 0.957008E-01;-0.206524E-02; 0.111602E-01;-0.332356E-01; 0.120411E+01; 0.163821E+00; 0.261276E-02; 0.283221E-02; 0.201967E-02
  47314.; 0.949310E-01;-0.111602E-02; 0.924992E-02; 122372.; 0.949310E-01;-0.111602E-02; 0.924992E-02;-0.666066E-01; 0.113318E+01; 0.145244E+00; 0.266583E-02; 0.250736E-02; 0.184576E-02
  47315.; 0.941666E-01;-0.276227E-03; 0.729844E-02; 122373.; 0.941666E-01;-0.276227E-03; 0.729844E-02;-0.923839E-01; 0.106716E+01; 0.130236E+00; 0.272387E-02; 0.219082E-02; 0.169449E-02
  47316.; 0.984739E-01;-0.284180E-02; 0.135466E-01; 122374.; 0.984739E-01;-0.284180E-02; 0.135466E-01;-0.135224E-01; 0.141676E+01; 0.206355E+00; 0.254458E-02; 0.333513E-02; 0.226704E-02
  47317.; 0.992741E-01;-0.366064E-02; 0.155748E-01; 122375.; 0.992741E-01;-0.366064E-02; 0.155748E-01; 0.132120E-01; 0.150858E+01; 0.230790E+00; 0.248130E-02; 0.372273E-02; 0.244174E-02
  47318.; 0.976436E-01;-0.192361E-02; 0.115672E-01; 122376.; 0.976436E-01;-0.192361E-02; 0.115672E-01;-0.456269E-01; 0.132984E+01; 0.182670E+00; 0.260279E-02; 0.297152E-02; 0.208241E-02
  47319.; 0.967957E-01;-0.974167E-03; 0.960704E-02; 122377.; 0.967957E-01;-0.974167E-03; 0.960704E-02;-0.788035E-01; 0.124764E+01; 0.160689E+00; 0.265853E-02; 0.262477E-02; 0.189905E-02
  47320.; 0.959538E-01;-0.133553E-03; 0.760881E-02; 122378.; 0.959538E-01;-0.133553E-03; 0.760881E-02;-0.103900E+00; 0.117136E+01; 0.142997E+00; 0.271938E-02; 0.228761E-02; 0.173961E-02
  47321.; 0.100487E+00;-0.269261E-02; 0.140344E-01; 122379.; 0.100487E+00;-0.269261E-02; 0.140344E-01;-0.273804E-01; 0.155705E+01; 0.228766E+00; 0.252562E-02; 0.349036E-02; 0.233557E-02
  47322.; 0.101364E+00;-0.351947E-02; 0.161175E-01; 122380.; 0.101364E+00;-0.351947E-02; 0.161175E-01;-0.133308E-02; 0.166279E+01; 0.257536E+00; 0.245884E-02; 0.389908E-02; 0.251960E-02
