Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 0.195613E-01; 0.147444E-01; 0.139833E-02; 0.154217E-01; 0.211354E-03; 0.619806E-02
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 0.188662E-01; 0.153267E-01; 0.123130E-02; 0.150262E-01; 0.219387E-03; 0.621333E-02
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 0.204034E-01; 0.140353E-01; 0.163490E-02; 0.158182E-01; 0.199574E-03; 0.618197E-02
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 0.213870E-01; 0.131923E-01; 0.185863E-02; 0.162140E-01; 0.183947E-03; 0.616497E-02
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 0.225381E-01; 0.122392E-01; 0.211607E-02; 0.166095E-01; 0.165000E-03; 0.614847E-02
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 0.121879E+00; 0.487947E+00;-0.900914E-02; 0.605508E-02; 0.142617E-02; 0.128503E-01
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 0.122061E+00; 0.538485E+00;-0.951548E-02; 0.596520E-02; 0.148257E-02; 0.133350E-01
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 0.142632E+00; 0.550113E+00;-0.134333E-01; 0.553372E-02; 0.150655E-02; 0.134718E-01
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 0.141532E+00; 0.497878E+00;-0.126466E-01; 0.563468E-02; 0.145121E-02; 0.129694E-01
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 0.109175E+00; 0.477858E+00;-0.696936E-02; 0.650781E-02; 0.140049E-02; 0.127401E-01
  71444.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 146502.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 0.108481E+00; 0.526848E+00;-0.729152E-02; 0.642710E-02; 0.145689E-02; 0.132064E-01
  71445.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 146503.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 0.951322E-01; 0.466866E+00;-0.529051E-02; 0.695202E-02; 0.137339E-02; 0.126254E-01
  71446.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 146504.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 0.939478E-01; 0.514141E+00;-0.535692E-02; 0.688026E-02; 0.142941E-02; 0.130724E-01
  71447.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 146505.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 0.837543E-01; 0.456239E+00;-0.429491E-02; 0.740624E-02; 0.134406E-02; 0.125115E-01
  71448.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 146506.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 0.804301E-01; 0.500938E+00;-0.433556E-02; 0.733425E-02; 0.139920E-02; 0.129367E-01
  71449.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 146507.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 0.121962E+00; 0.589943E+00;-0.100658E-01; 0.586427E-02; 0.153631E-02; 0.138184E-01
  71450.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 146508.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 0.143441E+00; 0.603283E+00;-0.141802E-01; 0.542160E-02; 0.155963E-02; 0.139732E-01
  71451.; 0.940149E-01;-0.397147E-02; 0.100420E-01; 146509.; 0.940149E-01;-0.397147E-02; 0.100420E-01; 0.107687E+00; 0.576574E+00;-0.765084E-02; 0.633602E-02; 0.151101E-02; 0.136715E-01
  71452.; 0.933807E-01;-0.345062E-02; 0.804224E-02; 146510.; 0.933807E-01;-0.345062E-02; 0.804224E-02; 0.924651E-01; 0.562069E+00;-0.552428E-02; 0.679901E-02; 0.148309E-02; 0.135187E-01
  71453.; 0.927367E-01;-0.296131E-02; 0.604603E-02; 146511.; 0.927367E-01;-0.296131E-02; 0.604603E-02; 0.785899E-01; 0.547202E+00;-0.425643E-02; 0.726282E-02; 0.145269E-02; 0.133639E-01
  71454.; 0.966715E-01;-0.430929E-02; 0.125047E-01; 146512.; 0.966715E-01;-0.430929E-02; 0.125047E-01; 0.121421E+00; 0.642126E+00;-0.107134E-01; 0.575836E-02; 0.158884E-02; 0.142990E-01
  71455.; 0.973855E-01;-0.505215E-02; 0.144979E-01; 146513.; 0.973855E-01;-0.505215E-02; 0.144979E-01; 0.143702E+00; 0.657170E+00;-0.149941E-01; 0.530342E-02; 0.161137E-02; 0.144713E-01
  71456.; 0.959803E-01;-0.381932E-02; 0.104242E-01; 146514.; 0.959803E-01;-0.381932E-02; 0.104242E-01; 0.106356E+00; 0.627163E+00;-0.804188E-02; 0.624087E-02; 0.156369E-02; 0.141338E-01
  71457.; 0.952661E-01;-0.329316E-02; 0.837985E-02; 146515.; 0.952661E-01;-0.329316E-02; 0.837985E-02; 0.907831E-01; 0.610726E+00;-0.578592E-02; 0.671449E-02; 0.153583E-02; 0.139625E-01
  71458.; 0.945416E-01;-0.280108E-02; 0.634118E-02; 146516.; 0.945416E-01;-0.280108E-02; 0.634118E-02; 0.765271E-01; 0.593911E+00;-0.434534E-02; 0.718820E-02; 0.150495E-02; 0.137892E-01
  71459.; 0.987077E-01;-0.415876E-02; 0.129645E-01; 146517.; 0.987077E-01;-0.415876E-02; 0.129645E-01; 0.120454E+00; 0.694766E+00;-0.114577E-01; 0.564272E-02; 0.164054E-02; 0.147791E-01
  71460.; 0.994995E-01;-0.490446E-02; 0.150123E-01; 146518.; 0.994995E-01;-0.490446E-02; 0.150123E-01; 0.143300E+00; 0.711594E+00;-0.158635E-01; 0.517483E-02; 0.166269E-02; 0.149689E-01
  71461.; 0.979271E-01;-0.359134E-02; 0.108642E-01; 146519.; 0.979271E-01;-0.359134E-02; 0.108642E-01; 0.102998E+00; 0.677449E+00;-0.855433E-02; 0.612819E-02; 0.161547E-02; 0.145930E-01
  71462.; 0.971461E-01;-0.313171E-02; 0.874287E-02; 146520.; 0.971461E-01;-0.313171E-02; 0.874287E-02; 0.887459E-01; 0.659891E+00;-0.612383E-02; 0.662205E-02; 0.158760E-02; 0.144064E-01
  71463.; 0.963425E-01;-0.263867E-02; 0.665896E-02; 146521.; 0.963425E-01;-0.263867E-02; 0.665896E-02; 0.742143E-01; 0.641281E+00;-0.449436E-02; 0.710660E-02; 0.155633E-02; 0.142147E-01
  71464.; 0.100735E+00;-0.399800E-02; 0.134552E-01; 146522.; 0.100735E+00;-0.399800E-02; 0.134552E-01; 0.119034E+00; 0.747980E+00;-0.122857E-01; 0.552108E-02; 0.169225E-02; 0.152571E-01
  71465.; 0.101604E+00;-0.474334E-02; 0.155613E-01; 146523.; 0.101604E+00;-0.474334E-02; 0.155613E-01; 0.142286E+00; 0.766372E+00;-0.168138E-01; 0.503923E-02; 0.171414E-02; 0.154640E-01
  71466.; 0.998780E-01;-0.342710E-02; 0.113019E-01; 146524.; 0.998780E-01;-0.342710E-02; 0.113019E-01; 0.101202E+00; 0.729095E+00;-0.913920E-02; 0.601916E-02; 0.166718E-02; 0.150533E-01
  71467.; 0.990203E-01;-0.296520E-02; 0.913062E-02; 146525.; 0.990203E-01;-0.296520E-02; 0.913062E-02; 0.865657E-01; 0.709656E+00;-0.657999E-02; 0.652505E-02; 0.163888E-02; 0.148487E-01
  71468.; 0.981393E-01;-0.247319E-02; 0.699883E-02; 146526.; 0.981393E-01;-0.247319E-02; 0.699883E-02; 0.717014E-01; 0.689253E+00;-0.471753E-02; 0.702106E-02; 0.160753E-02; 0.146389E-01
  71469.; 0.102755E+00;-0.382578E-02; 0.139753E-01; 146527.; 0.102755E+00;-0.382578E-02; 0.139753E-01; 0.117013E+00; 0.801489E+00;-0.131487E-01; 0.539101E-02; 0.174401E-02; 0.157346E-01
  71470.; 0.103699E+00;-0.456723E-02; 0.161431E-01; 146528.; 0.103699E+00;-0.456723E-02; 0.161431E-01; 0.140587E+00; 0.821365E+00;-0.178597E-01; 0.489440E-02; 0.176609E-02; 0.159587E-01
  71471.; 0.101822E+00;-0.325286E-02; 0.117667E-01; 146529.; 0.101822E+00;-0.325286E-02; 0.117667E-01; 0.987483E-01; 0.781107E+00;-0.974602E-02; 0.590236E-02; 0.171902E-02; 0.155131E-01
  71472.; 0.100889E+00;-0.279164E-02; 0.954245E-02; 146530.; 0.100889E+00;-0.279164E-02; 0.954245E-02; 0.838219E-01; 0.760066E+00;-0.695017E-02; 0.642115E-02; 0.169021E-02; 0.152910E-01
  71473.; 0.999318E-01;-0.230391E-02; 0.735980E-02; 146531.; 0.999318E-01;-0.230391E-02; 0.735980E-02; 0.688967E-01; 0.737708E+00;-0.492421E-02; 0.692946E-02; 0.165792E-02; 0.150632E-01
  71474.; 0.104767E+00;-0.363946E-02; 0.145218E-01; 146532.; 0.104767E+00;-0.363946E-02; 0.145218E-01; 0.114441E+00; 0.855204E+00;-0.140874E-01; 0.525502E-02; 0.179637E-02; 0.162106E-01
  71475.; 0.105784E+00;-0.437277E-02; 0.167535E-01; 146533.; 0.105784E+00;-0.437277E-02; 0.167535E-01; 0.138180E+00; 0.876463E+00;-0.189966E-01; 0.474301E-02; 0.181890E-02; 0.164516E-01
  71476.; 0.103760E+00;-0.306885E-02; 0.122554E-01; 146534.; 0.103760E+00;-0.306885E-02; 0.122554E-01; 0.959501E-01; 0.833291E+00;-0.104553E-01; 0.578017E-02; 0.177100E-02; 0.159718E-01
  71477.; 0.102739E+00;-0.253981E-02; 0.100045E-01; 146535.; 0.102739E+00;-0.253981E-02; 0.100045E-01; 0.789522E-01; 0.810039E+00;-0.732179E-02; 0.630359E-02; 0.174192E-02; 0.157292E-01
  71478.; 0.101721E+00;-0.212953E-02; 0.774063E-02; 146536.; 0.101721E+00;-0.212953E-02; 0.774063E-02; 0.658890E-01; 0.786479E+00;-0.523085E-02; 0.683382E-02; 0.170859E-02; 0.154868E-01
  71479.; 0.106771E+00;-0.343613E-02; 0.150915E-01; 146537.; 0.106771E+00;-0.343613E-02; 0.150915E-01; 0.111190E+00; 0.909041E+00;-0.150519E-01; 0.511235E-02; 0.184931E-02; 0.166859E-01
  71480.; 0.107860E+00;-0.415677E-02; 0.173888E-01; 146538.; 0.107860E+00;-0.415677E-02; 0.173888E-01; 0.134947E+00; 0.931622E+00;-0.201631E-01; 0.458435E-02; 0.187269E-02; 0.169437E-01
  71481.; 0.105691E+00;-0.287251E-02; 0.127654E-01; 146539.; 0.105691E+00;-0.287251E-02; 0.127654E-01; 0.926285E-01; 0.885747E+00;-0.111982E-01; 0.565199E-02; 0.182317E-02; 0.164300E-01
  71482.; 0.104597E+00;-0.235302E-02; 0.104566E-01; 146540.; 0.104597E+00;-0.235302E-02; 0.104566E-01; 0.757154E-01; 0.861089E+00;-0.784755E-02; 0.618953E-02; 0.179340E-02; 0.161701E-01
  71483.; 0.103506E+00;-0.194853E-02; 0.813970E-02; 146541.; 0.103506E+00;-0.194853E-02; 0.813970E-02; 0.626315E-01; 0.835858E+00;-0.555584E-02; 0.673270E-02; 0.175999E-02; 0.159106E-01
  71484.; 0.108766E+00;-0.321349E-02; 0.156817E-01; 146542.; 0.108766E+00;-0.321349E-02; 0.156817E-01; 0.107215E+00; 0.962937E+00;-0.160409E-01; 0.496458E-02; 0.190320E-02; 0.171599E-01
  71485.; 0.109927E+00;-0.391681E-02; 0.180464E-01; 146543.; 0.109927E+00;-0.391681E-02; 0.180464E-01; 0.130882E+00; 0.986838E+00;-0.213515E-01; 0.441990E-02; 0.192765E-02; 0.174345E-01
  71486.; 0.107614E+00;-0.266062E-02; 0.132946E-01; 146544.; 0.107614E+00;-0.266062E-02; 0.132946E-01; 0.886874E-01; 0.938322E+00;-0.119870E-01; 0.551909E-02; 0.187600E-02; 0.168869E-01
  71487.; 0.106449E+00;-0.215158E-02; 0.109278E-01; 146545.; 0.106449E+00;-0.215158E-02; 0.109278E-01; 0.717753E-01; 0.912262E+00;-0.837124E-02; 0.607088E-02; 0.184541E-02; 0.166099E-01
  71488.; 0.105286E+00;-0.175834E-02; 0.855580E-02; 146546.; 0.105286E+00;-0.175834E-02; 0.855580E-02; 0.587390E-01; 0.885577E+00;-0.582979E-02; 0.662755E-02; 0.181120E-02; 0.163335E-01
  71489.; 0.110753E+00;-0.296971E-02; 0.162905E-01; 146547.; 0.110753E+00;-0.296971E-02; 0.162905E-01; 0.102497E+00; 0.101692E+01;-0.170118E-01; 0.481112E-02; 0.195788E-02; 0.176330E-01
  71490.; 0.111984E+00;-0.365106E-02; 0.187242E-01; 146548.; 0.111984E+00;-0.365106E-02; 0.187242E-01; 0.125934E+00; 0.104208E+01;-0.225060E-01; 0.424916E-02; 0.198365E-02; 0.179243E-01
  71491.; 0.109531E+00;-0.243186E-02; 0.138409E-01; 146549.; 0.109531E+00;-0.243186E-02; 0.138409E-01; 0.841259E-01; 0.991011E+00;-0.127530E-01; 0.538113E-02; 0.192950E-02; 0.173431E-01
  71492.; 0.108295E+00;-0.193791E-02; 0.114146E-01; 146550.; 0.108295E+00;-0.193791E-02; 0.114146E-01; 0.674485E-01; 0.963553E+00;-0.895095E-02; 0.594760E-02; 0.189783E-02; 0.170493E-01
  71493.; 0.107048E+00;-0.148865E-02; 0.901211E-02; 146551.; 0.107048E+00;-0.148865E-02; 0.901211E-02; 0.526773E-01; 0.934694E+00;-0.608073E-02; 0.651010E-02; 0.186243E-02; 0.167528E-01
  71494.; 0.112733E+00;-0.270304E-02; 0.169159E-01; 146552.; 0.112733E+00;-0.270304E-02; 0.169159E-01; 0.970526E-01; 0.107090E+01;-0.178742E-01; 0.465290E-02; 0.201353E-02; 0.181050E-01
  71495.; 0.114031E+00;-0.335721E-02; 0.194195E-01; 146553.; 0.114031E+00;-0.335721E-02; 0.194195E-01; 0.120105E+00; 0.109730E+01;-0.235017E-01; 0.407325E-02; 0.204096E-02; 0.184128E-01
  71496.; 0.111441E+00;-0.218461E-02; 0.144028E-01; 146554.; 0.111441E+00;-0.218461E-02; 0.144028E-01; 0.788661E-01; 0.104373E+01;-0.134546E-01; 0.523891E-02; 0.198389E-02; 0.177984E-01
  71497.; 0.110136E+00;-0.171032E-02; 0.119155E-01; 146555.; 0.110136E+00;-0.171032E-02; 0.119155E-01; 0.625749E-01; 0.101506E+01;-0.950859E-02; 0.582063E-02; 0.195089E-02; 0.174880E-01
  71498.; 0.108820E+00;-0.127917E-02; 0.945555E-02; 146556.; 0.108820E+00;-0.127917E-02; 0.945555E-02; 0.481565E-01; 0.984942E+00;-0.643077E-02; 0.639749E-02; 0.191443E-02; 0.171749E-01
  71499.; 0.114704E+00;-0.241108E-02; 0.175552E-01; 146557.; 0.114704E+00;-0.241108E-02; 0.175552E-01; 0.908169E-01; 0.112498E+01;-0.187411E-01; 0.448998E-02; 0.207034E-02; 0.185763E-01
  71500.; 0.116069E+00;-0.303242E-02; 0.201290E-01; 146558.; 0.116069E+00;-0.303242E-02; 0.201290E-01; 0.113088E+00; 0.115257E+01;-0.243367E-01; 0.389253E-02; 0.209966E-02; 0.188999E-01
  71501.; 0.113345E+00;-0.191723E-02; 0.149780E-01; 146559.; 0.113345E+00;-0.191723E-02; 0.149780E-01; 0.729554E-01; 0.109653E+01;-0.141595E-01; 0.509246E-02; 0.203900E-02; 0.182531E-01
  71502.; 0.111972E+00;-0.146580E-02; 0.124294E-01; 146560.; 0.111972E+00;-0.146580E-02; 0.124294E-01; 0.570895E-01; 0.106669E+01;-0.998774E-02; 0.568960E-02; 0.200458E-02; 0.179262E-01
  71503.; 0.110588E+00;-0.105632E-02; 0.991115E-02; 146561.; 0.110588E+00;-0.105632E-02; 0.991115E-02; 0.430735E-01; 0.103517E+01;-0.672212E-02; 0.628117E-02; 0.196679E-02; 0.175966E-01
  71504.; 0.116646E+00;-0.202278E-02; 0.182344E-01; 146562.; 0.116646E+00;-0.202278E-02; 0.182344E-01; 0.815480E-01; 0.117860E+01;-0.188757E-01; 0.431424E-02; 0.212738E-02; 0.190413E-01
  71505.; 0.118096E+00;-0.267338E-02; 0.208507E-01; 146563.; 0.118096E+00;-0.267338E-02; 0.208507E-01; 0.105034E+00; 0.120706E+01;-0.253358E-01; 0.370740E-02; 0.216009E-02; 0.193858E-01
  71506.; 0.115241E+00;-0.162667E-02; 0.155648E-01; 146564.; 0.115241E+00;-0.162667E-02; 0.155648E-01; 0.663419E-01; 0.114945E+01;-0.145738E-01; 0.494217E-02; 0.209499E-02; 0.187066E-01
  71507.; 0.113802E+00;-0.120390E-02; 0.129541E-01; 146565.; 0.113802E+00;-0.120390E-02; 0.129541E-01; 0.510151E-01; 0.111824E+01;-0.104208E-01; 0.555538E-02; 0.205896E-02; 0.183636E-01
  71508.; 0.112351E+00;-0.819780E-03; 0.103773E-01; 146566.; 0.112351E+00;-0.819780E-03; 0.103773E-01; 0.375443E-01; 0.108560E+01;-0.701615E-02; 0.616189E-02; 0.201966E-02; 0.180178E-01
  71509.; 0.118600E+00;-0.167641E-02; 0.188930E-01; 146567.; 0.118600E+00;-0.167641E-02; 0.188930E-01; 0.734257E-01; 0.123231E+01;-0.194848E-01; 0.414416E-02; 0.218661E-02; 0.195099E-01
  71510.; 0.120116E+00;-0.228363E-02; 0.215802E-01; 146568.; 0.120116E+00;-0.228363E-02; 0.215802E-01; 0.960488E-01; 0.126141E+01;-0.260700E-01; 0.351894E-02; 0.222211E-02; 0.198706E-01
  71511.; 0.117109E+00;-0.124167E-02; 0.161878E-01; 146569.; 0.117109E+00;-0.124167E-02; 0.161878E-01; 0.567891E-01; 0.120192E+01;-0.145274E-01; 0.477973E-02; 0.215119E-02; 0.191546E-01
  71512.; 0.115627E+00;-0.923079E-03; 0.134881E-01; 146570.; 0.115627E+00;-0.923079E-03; 0.134881E-01; 0.444529E-01; 0.117001E+01;-0.107567E-01; 0.541785E-02; 0.211410E-02; 0.188004E-01
