Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  47287.; 0.630998E-01; 0.340595E-02;-0.274946E-01; 122345.; 0.630998E-01; 0.340595E-02;-0.274946E-01;-0.273576E-01; 0.198798E-01; 0.127645E-01; 0.100579E-01;-0.235381E-02; 0.234941E-02
  47288.; 0.630701E-01; 0.342982E-02;-0.257671E-01; 122346.; 0.630701E-01; 0.342982E-02;-0.257671E-01;-0.325160E-01; 0.193742E-01; 0.129707E-01; 0.990217E-02;-0.215810E-02; 0.230381E-02
  47291.; 0.631360E-01; 0.338077E-02;-0.292195E-01; 122349.; 0.631360E-01; 0.338077E-02;-0.292195E-01;-0.216784E-01; 0.202189E-01; 0.124422E-01; 0.102286E-01;-0.252637E-02; 0.236013E-02
  47293.; 0.631784E-01; 0.335451E-02;-0.309441E-01; 122351.; 0.631784E-01; 0.335451E-02;-0.309441E-01;-0.156596E-01; 0.205080E-01; 0.122443E-01; 0.103930E-01;-0.268003E-02; 0.240081E-02
  47295.; 0.632269E-01; 0.332660E-02;-0.326693E-01; 122353.; 0.632269E-01; 0.332660E-02;-0.326693E-01;-0.936329E-02; 0.207337E-01; 0.120394E-01; 0.105545E-01;-0.281589E-02; 0.242108E-02
  47296.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 122354.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 0.275727E-01; 0.881293E+00; 0.128965E+00; 0.409503E-02;-0.648615E-02; 0.489566E-02
  47297.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 122355.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 0.182589E-01; 0.100675E+01; 0.149681E+00; 0.412655E-02;-0.739127E-02; 0.499534E-02
  47298.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 122356.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 0.436390E-01; 0.105882E+01; 0.162103E+00; 0.368018E-02;-0.744527E-02; 0.510580E-02
  47299.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 122357.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 0.523819E-01; 0.921077E+00; 0.137868E+00; 0.365921E-02;-0.646752E-02; 0.501388E-02
  47300.; 0.898315E-01;-0.237378E-02; 0.101270E-01; 122358.; 0.898315E-01;-0.237378E-02; 0.101270E-01;-0.775366E-02; 0.841107E+00; 0.119215E+00; 0.460531E-02;-0.646994E-02; 0.475345E-02
