Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 0.435962E-01; 0.267077E-01; 0.178816E-01; 0.734112E-02;-0.251105E-02; 0.132785E-02
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 0.407169E-01; 0.273937E-01; 0.176327E-01; 0.730147E-02;-0.235426E-02; 0.135241E-02
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 0.466585E-01; 0.258260E-01; 0.182065E-01; 0.738914E-02;-0.265263E-02; 0.129020E-02
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 0.499280E-01; 0.247225E-01; 0.184896E-01; 0.743210E-02;-0.277684E-02; 0.124605E-02
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 0.534631E-01; 0.234253E-01; 0.188258E-01; 0.747469E-02;-0.287654E-02; 0.120026E-02
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 0.113846E+00; 0.887617E+00; 0.138824E+00; 0.350228E-02;-0.663175E-02; 0.507530E-02
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 0.105741E+00; 0.101303E+01; 0.163908E+00; 0.352165E-02;-0.754176E-02; 0.515228E-02
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 0.130351E+00; 0.106546E+01; 0.175184E+00; 0.308023E-02;-0.759991E-02; 0.526952E-02
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 0.138460E+00; 0.927946E+00; 0.146030E+00; 0.306798E-02;-0.661935E-02; 0.520686E-02
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 0.103812E+00; 0.849671E+00; 0.131674E+00; 0.382519E-02;-0.666104E-02; 0.499221E-02
  71444.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 146502.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 0.959715E-01; 0.964019E+00; 0.153748E+00; 0.384986E-02;-0.751053E-02; 0.507587E-02
  71445.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 146503.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 0.892739E-01; 0.813136E+00; 0.124864E+00; 0.416972E-02;-0.668015E-02; 0.490487E-02
  71446.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 146504.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 0.821927E-01; 0.917126E+00; 0.143914E+00; 0.419957E-02;-0.747502E-02; 0.499271E-02
  71447.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 146505.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 0.797618E-01; 0.779280E+00; 0.118624E+00; 0.447468E-02;-0.671453E-02; 0.483292E-02
  71448.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 146506.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 0.689649E-01; 0.873278E+00; 0.134405E+00; 0.453828E-02;-0.745098E-02; 0.491489E-02
  71449.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 146507.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 0.967503E-01; 0.114235E+01; 0.189812E+00; 0.354999E-02;-0.848877E-02; 0.521133E-02
  71450.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 146508.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 0.121270E+00; 0.120728E+01; 0.205097E+00; 0.310319E-02;-0.862306E-02; 0.531297E-02
  71451.; 0.940149E-01;-0.397147E-02; 0.100420E-01; 146509.; 0.940149E-01;-0.397147E-02; 0.100420E-01; 0.872069E-01; 0.108183E+01; 0.176611E+00; 0.388227E-02;-0.839029E-02; 0.514352E-02
  71452.; 0.933807E-01;-0.345062E-02; 0.804224E-02; 146510.; 0.933807E-01;-0.345062E-02; 0.804224E-02; 0.734889E-01; 0.102456E+01; 0.164058E+00; 0.423671E-02;-0.829519E-02; 0.506669E-02
  71453.; 0.927367E-01;-0.296131E-02; 0.604603E-02; 146511.; 0.927367E-01;-0.296131E-02; 0.604603E-02; 0.608746E-01; 0.970891E+00; 0.151948E+00; 0.457762E-02;-0.821825E-02; 0.499373E-02
  71454.; 0.966715E-01;-0.430929E-02; 0.125047E-01; 146512.; 0.966715E-01;-0.430929E-02; 0.125047E-01; 0.860052E-01; 0.127544E+01; 0.216388E+00; 0.358912E-02;-0.947088E-02; 0.525438E-02
  71455.; 0.973855E-01;-0.505215E-02; 0.144979E-01; 146513.; 0.973855E-01;-0.505215E-02; 0.144979E-01; 0.110075E+00; 0.135309E+01; 0.235852E+00; 0.313978E-02;-0.968735E-02; 0.533732E-02
  71456.; 0.959803E-01;-0.381932E-02; 0.104242E-01; 146514.; 0.959803E-01;-0.381932E-02; 0.104242E-01; 0.768852E-01; 0.120333E+01; 0.200069E+00; 0.392385E-02;-0.929938E-02; 0.519781E-02
