Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01;-0.822338E-03;-0.129864E-03;-0.738051E-04; 0.192915E-01; 0.180202E-01; 0.111646E-02
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01;-0.811217E-03;-0.149606E-03;-0.727236E-04; 0.186276E-01; 0.185300E-01; 0.965741E-03
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01;-0.838603E-03;-0.107670E-03;-0.731145E-04; 0.201084E-01; 0.173906E-01; 0.133317E-02
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01;-0.856246E-03;-0.846021E-04;-0.701263E-04; 0.210681E-01; 0.166352E-01; 0.153506E-02
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01;-0.874518E-03;-0.602171E-04;-0.667368E-04; 0.221969E-01; 0.157768E-01; 0.177315E-02
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01;-0.810868E-03;-0.247505E-03;-0.178611E-03; 0.121949E+00; 0.484321E+00;-0.853357E-02
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01;-0.810783E-03;-0.253040E-03;-0.181444E-03; 0.122171E+00; 0.534531E+00;-0.901396E-02
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01;-0.808274E-03;-0.262623E-03;-0.186196E-03; 0.142623E+00; 0.546068E+00;-0.129502E-01
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01;-0.808714E-03;-0.256897E-03;-0.183348E-03; 0.141480E+00; 0.494173E+00;-0.121882E-01
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02;-0.813492E-03;-0.238347E-03;-0.175623E-03; 0.109325E+00; 0.474307E+00;-0.648668E-02
