Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 0.350844E-01; 0.250027E-01; 0.106800E-01; 0.203202E-03;-0.224106E-03;-0.116200E-03
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 0.327917E-01; 0.257751E-01; 0.104528E-01; 0.201604E-03;-0.160975E-03;-0.116012E-03
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 0.375690E-01; 0.240493E-01; 0.109822E-01; 0.210810E-03;-0.285526E-03;-0.121578E-03
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 0.402626E-01; 0.228901E-01; 0.112426E-01; 0.216827E-03;-0.343568E-03;-0.130780E-03
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 0.432249E-01; 0.215503E-01; 0.115637E-01; 0.222290E-03;-0.396229E-03;-0.141566E-03
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 0.120264E+00; 0.894846E+00; 0.126110E+00; 0.499041E-03; 0.984176E-03;-0.814999E-05
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 0.112259E+00; 0.102152E+01; 0.150832E+00; 0.493781E-03; 0.107481E-02;-0.214536E-06
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 0.137665E+00; 0.107519E+01; 0.162290E+00; 0.517089E-03; 0.114497E-02; 0.203620E-04
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 0.145655E+00; 0.936241E+00; 0.133470E+00; 0.523065E-03; 0.104325E-02; 0.891524E-05
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 0.109529E+00; 0.855850E+00; 0.118875E+00; 0.482621E-03; 0.928245E-03;-0.195981E-04
  71444.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 146502.; 0.920431E-01;-0.411688E-02; 0.968918E-02; 0.101777E+00; 0.971301E+00; 0.140567E+00; 0.478180E-03; 0.100807E-02;-0.142761E-04
  71445.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 146503.; 0.895896E-01;-0.376046E-02; 0.744564E-02; 0.942331E-01; 0.818327E+00; 0.111982E+00; 0.462074E-03; 0.876276E-03;-0.298736E-04
  71446.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 146504.; 0.914903E-01;-0.360423E-02; 0.773061E-02; 0.872466E-01; 0.923273E+00; 0.130629E+00; 0.459190E-03; 0.945879E-03;-0.276432E-04
  71447.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 146505.; 0.891192E-01;-0.335331E-02; 0.549944E-02; 0.839935E-01; 0.783548E+00; 0.105696E+00; 0.444117E-03; 0.826769E-03;-0.373646E-04
  71448.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 146506.; 0.909277E-01;-0.311651E-02; 0.577509E-02; 0.732611E-01; 0.878365E+00; 0.121028E+00; 0.439497E-03; 0.887530E-03;-0.389787E-04
  71449.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 146507.; 0.946272E-01;-0.445045E-02; 0.120767E-01; 0.103380E+00; 0.115215E+01; 0.176373E+00; 0.487947E-03; 0.116540E-02; 0.742395E-05
  71450.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 146508.; 0.952622E-01;-0.518738E-02; 0.140192E-01; 0.128716E+00; 0.121850E+01; 0.191870E+00; 0.510784E-03; 0.124656E-02; 0.311425E-04
  71451.; 0.940149E-01;-0.397147E-02; 0.100420E-01; 146509.; 0.940149E-01;-0.397147E-02; 0.100420E-01; 0.931126E-01; 0.109027E+01; 0.163047E+00; 0.472556E-03; 0.108825E-02;-0.895924E-05
  71452.; 0.933807E-01;-0.345062E-02; 0.804224E-02; 146510.; 0.933807E-01;-0.345062E-02; 0.804224E-02; 0.786248E-01; 0.103172E+01; 0.150378E+00; 0.453644E-03; 0.101652E-02;-0.243619E-04
  71453.; 0.927367E-01;-0.296131E-02; 0.604603E-02; 146511.; 0.927367E-01;-0.296131E-02; 0.604603E-02; 0.652448E-01; 0.976850E+00; 0.138165E+00; 0.434465E-03; 0.948741E-03;-0.378008E-04
  71454.; 0.966715E-01;-0.430929E-02; 0.125047E-01; 146512.; 0.966715E-01;-0.430929E-02; 0.125047E-01; 0.927350E-01; 0.128661E+01; 0.202586E+00; 0.482339E-03; 0.125671E-02; 0.139999E-04
  71455.; 0.973855E-01;-0.505215E-02; 0.144979E-01; 146513.; 0.973855E-01;-0.505215E-02; 0.144979E-01; 0.117638E+00; 0.136585E+01; 0.222295E+00; 0.504481E-03; 0.134839E-02; 0.407791E-04
  71456.; 0.959803E-01;-0.381932E-02; 0.104242E-01; 146514.; 0.959803E-01;-0.381932E-02; 0.104242E-01; 0.828771E-01; 0.121298E+01; 0.186125E+00; 0.467513E-03; 0.116962E-02;-0.466784E-05
  71457.; 0.952661E-01;-0.329316E-02; 0.837985E-02; 146515.; 0.952661E-01;-0.329316E-02; 0.837985E-02; 0.689664E-01; 0.114320E+01; 0.170536E+00; 0.449284E-03; 0.108818E-02;-0.222797E-04
  71458.; 0.945416E-01;-0.280108E-02; 0.634118E-02; 146516.; 0.945416E-01;-0.280108E-02; 0.634118E-02; 0.564202E-01; 0.107823E+01; 0.155633E+00; 0.431135E-03; 0.101167E-02;-0.378745E-04
  71459.; 0.987077E-01;-0.415876E-02; 0.129645E-01; 146517.; 0.987077E-01;-0.415876E-02; 0.129645E-01; 0.806612E-01; 0.142414E+01; 0.229056E+00; 0.475887E-03; 0.134832E-02; 0.199450E-04
  71460.; 0.994995E-01;-0.490446E-02; 0.150123E-01; 146518.; 0.994995E-01;-0.490446E-02; 0.150123E-01; 0.104632E+00; 0.151656E+01; 0.253057E+00; 0.497211E-03; 0.145037E-02; 0.496097E-04
  71461.; 0.979271E-01;-0.359134E-02; 0.108642E-01; 146519.; 0.979271E-01;-0.359134E-02; 0.108642E-01; 0.667005E-01; 0.133821E+01; 0.208222E+00; 0.458735E-03; 0.125202E-02;-0.283360E-05
  71462.; 0.971461E-01;-0.313171E-02; 0.874287E-02; 146520.; 0.971461E-01;-0.313171E-02; 0.874287E-02; 0.581303E-01; 0.125747E+01; 0.191173E+00; 0.443567E-03; 0.116056E-02;-0.200560E-04
  71463.; 0.963425E-01;-0.263867E-02; 0.665896E-02; 146521.; 0.963425E-01;-0.263867E-02; 0.665896E-02; 0.462860E-01; 0.118200E+01; 0.173637E+00; 0.425870E-03; 0.107535E-02;-0.374451E-04
  71464.; 0.100735E+00;-0.399800E-02; 0.134552E-01; 146522.; 0.100735E+00;-0.399800E-02; 0.134552E-01; 0.669808E-01; 0.156428E+01; 0.255751E+00; 0.469471E-03; 0.144019E-02; 0.247948E-04
  71465.; 0.101604E+00;-0.474334E-02; 0.155613E-01; 146523.; 0.101604E+00;-0.474334E-02; 0.155613E-01; 0.896920E-01; 0.167056E+01; 0.284044E+00; 0.489860E-03; 0.155281E-02; 0.571383E-04
  71466.; 0.998780E-01;-0.342710E-02; 0.113019E-01; 146524.; 0.998780E-01;-0.342710E-02; 0.113019E-01; 0.538740E-01; 0.146592E+01; 0.231398E+00; 0.452913E-03; 0.133401E-02;-0.233793E-06
  71467.; 0.990203E-01;-0.296520E-02; 0.913062E-02; 146525.; 0.990203E-01;-0.296520E-02; 0.913062E-02; 0.461635E-01; 0.137492E+01; 0.211982E+00; 0.438342E-03; 0.123440E-02;-0.188728E-04
  71468.; 0.981393E-01;-0.247319E-02; 0.699883E-02; 146526.; 0.981393E-01;-0.247319E-02; 0.699883E-02; 0.355659E-01; 0.128782E+01; 0.191729E+00; 0.421625E-03; 0.113975E-02;-0.379648E-04
  71469.; 0.102755E+00;-0.382578E-02; 0.139753E-01; 146527.; 0.102755E+00;-0.382578E-02; 0.139753E-01; 0.518009E-01; 0.170734E+01; 0.282451E+00; 0.462392E-03; 0.153269E-02; 0.288541E-04
  71470.; 0.103699E+00;-0.456723E-02; 0.161431E-01; 146528.; 0.103699E+00;-0.456723E-02; 0.161431E-01; 0.728096E-01; 0.182779E+01; 0.314942E+00; 0.481703E-03; 0.165587E-02; 0.635996E-04
  71471.; 0.101822E+00;-0.325286E-02; 0.117667E-01; 146529.; 0.101822E+00;-0.325286E-02; 0.117667E-01; 0.397846E-01; 0.159519E+01; 0.254597E+00; 0.446479E-03; 0.141597E-02; 0.176375E-05
  71472.; 0.100889E+00;-0.279164E-02; 0.954245E-02; 146530.; 0.100889E+00;-0.279164E-02; 0.954245E-02; 0.328162E-01; 0.149296E+01; 0.232102E+00; 0.432183E-03; 0.130761E-02;-0.186379E-04
  71473.; 0.999318E-01;-0.230391E-02; 0.735980E-02; 146531.; 0.999318E-01;-0.230391E-02; 0.735980E-02; 0.236646E-01; 0.139699E+01; 0.210147E+00; 0.416235E-03; 0.120601E-02;-0.383779E-04
