Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  47287.; 0.630998E-01; 0.340595E-02;-0.274946E-01; 122345.; 0.630998E-01; 0.340595E-02;-0.274946E-01; 0.550409E+00;-0.612840E-01; 0.489244E+00; 0.733118E-01; 0.555207E+00; 0.109588E+00
  47288.; 0.630701E-01; 0.342982E-02;-0.257671E-01; 122346.; 0.630701E-01; 0.342982E-02;-0.257671E-01; 0.532034E+00;-0.600253E-01; 0.489118E+00; 0.696815E-01; 0.541108E+00; 0.109770E+00
  47291.; 0.631360E-01; 0.338077E-02;-0.292195E-01; 122349.; 0.631360E-01; 0.338077E-02;-0.292195E-01; 0.569108E+00;-0.626989E-01; 0.489374E+00; 0.770365E-01; 0.569178E+00; 0.109376E+00
  47293.; 0.631784E-01; 0.335451E-02;-0.309441E-01; 122351.; 0.631784E-01; 0.335451E-02;-0.309441E-01; 0.588043E+00;-0.641816E-01; 0.489622E+00; 0.808257E-01; 0.583092E+00; 0.109183E+00
  47295.; 0.632269E-01; 0.332660E-02;-0.326693E-01; 122353.; 0.632269E-01; 0.332660E-02;-0.326693E-01; 0.607219E+00;-0.657623E-01; 0.489934E+00; 0.846814E-01; 0.596950E+00; 0.108957E+00
  47296.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 122354.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 0.221803E+00; 0.424016E+00; 0.807357E+00; 0.156414E-01; 0.351694E+00; 0.113270E+00
  47297.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 122355.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 0.212243E+00; 0.497578E+00; 0.838544E+00; 0.128868E-01; 0.369960E+00; 0.121219E+00
  47298.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 122356.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 0.210343E+00; 0.520944E+00; 0.848204E+00; 0.143430E-01; 0.358154E+00; 0.115941E+00
  47299.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 122357.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 0.219802E+00; 0.440631E+00; 0.814436E+00; 0.170426E-01; 0.338348E+00; 0.107496E+00
  47300.; 0.898315E-01;-0.237378E-02; 0.101270E-01; 122358.; 0.898315E-01;-0.237378E-02; 0.101270E-01; 0.216811E+00; 0.406328E+00; 0.799768E+00; 0.122621E-01; 0.363810E+00; 0.120929E+00
